_id,sessionId,startedAt,completedAt,metrics.avgDecisionTime,metrics.avgHesitation,metrics.riskScore,metrics.consistencyScore,metrics.variance,metrics.pressureSensitivity,summary.highestRiskDecision,summary.longestPause,summary.biggestBehaviorShift,computed
69f9efa76385da0db2e63d47,02c9be95-c040-410e-a160-54a4aa8b757d,2026-05-05T13:24:55.559Z,,41075.7,20354.65,0.5,0.5,930359803.240045,0.0,s1,s1,s2,True
69f9eff16385da0db2e63d48,af5e440d-ae72-46d7-adbc-0e95524b66d1,2026-05-05T13:26:09.998Z,,21551.2,4195.55,0.0,1.0,7568551.210049,0.0,,s1,,True
69f9f0b06385da0db2e63d49,50eb8fb7-d2c7-4915-b52d-6769b6ec248d,2026-05-05T13:29:20.542Z,,,,,,,,,,,False
69f9f4484a33aec42855477e,eb820714-b5b0-4dc7-a5e4-57ba5d706c70,2026-05-05T13:44:40.875Z,,,,,,,,,,,False
69f9f4654a33aec42855477f,92d89279-32d6-49ca-b512-eda1e6e34787,2026-05-05T13:45:09.903Z,2026-05-05T13:50:22.948Z,27591.61111111111,2813.3555555608536,0.1111111111111111,0.0,204403406.0830232,0.3333333333333333,You're almost done with your first task.\nYou spot a small mistake. Easy to miss. Easy to ignore.\n\nNobody has asked about it. Nobody might ever ask.,You're almost done with your first task.\nYou spot a small mistake. Easy to miss. Easy to ignore.\n\nNobody has asked about it. Nobody might ever ask.,pressure_sensitive → assertive,False
69f9f4ff3be1d26758c9c6bd,abc5d665-58d1-4c00-aa18-f3784008b7a1,2026-05-05T13:47:43.485Z,,11593.466667,2944.433333,0.6666666667,0.6667,21749548.962222,0.0,s1,s1,s3_risk,True
69f9f65ff993ec275e0f7a34,80b109a9-d6eb-458e-9d85-30370ce7f221,2026-05-05T13:53:35.032Z,,,,,,,,,,,False
69f9f87ed1e88d79e03b6530,e78c6797-d10e-42a3-8d7a-ed8e998cb34a,2026-05-05T14:02:38.994Z,,135380.15,3246.65,0.5,0.5,11275498451.822186,0.5,s1,s1,s2,True
69f9facc017c16c25412e35c,06ee0bbc-d830-4678-8621-aa6f02bdabae,2026-05-05T14:12:28.945Z,,,,,,,,,,,False
69f9fb88017c16c25412e35d,fb4713ca-309b-4a4b-87fa-173af989b6e8,2026-05-05T14:15:36.675Z,2026-05-05T14:23:35.224Z,44106.79000000004,9287.319999999832,0.2,0.0,652582368.970892,0.4,"Your manager messages you out of nowhere:\n\n""We have a situation. Can you jump in?""",You're almost done with your first task.\nYou spot a small mistake. Easy to miss. Easy to ignore.\n\nNobody has asked about it. Nobody might ever ask.,methodical → pressure_sensitive,False
69f9fcb2017c16c25412e35e,c2e6c20f-12cd-4423-83fd-683cfae93e92,2026-05-05T14:20:34.070Z,,,,,,,,,,,False
69fa02bee81601f38b560945,2bec5b83-13f3-4818-832c-22362e1ff18f,2026-05-05T14:46:22.556Z,2026-05-05T14:50:10.964Z,20858.559999990463,3046.999999976158,0.1,0.0,44291897.13041195,0.4,"Your manager messages you out of nowhere:\n\n""We have a situation. Can you jump in?""",You're almost done with your first task.\nYou spot a small mistake. Easy to miss. Easy to ignore.\n\nNobody has asked about it. Nobody might ever ask.,ethical → pressure_sensitive,False
69fa02e7e81601f38b560946,cc60de2b-0bfa-44b2-9664-60cad317d448,2026-05-05T14:47:03.652Z,2026-05-05T14:51:03.709Z,22295.709999996423,1381.519999998808,0.3,0.0,547349252.9029633,0.4,The thing you left unresolved has grown.\nIt is now blocking two different people.\n\nThis one started with you.,You're almost done with your first task.\nYou spot a small mistake. Easy to miss. Easy to ignore.\n\nNobody has asked about it. Nobody might ever ask.,ethical → avoidant,False
69fa065f61fd01bcfe5ae4a1,3d8bb1f4-17b6-4932-84cc-e938265ce968,2026-05-05T15:01:51.785Z,,,,,,,,,,,False
69fa07ccc4e19200bacc7d60,6538554b-9792-4fb2-9fe1-2675d5e14856,2026-05-05T15:07:56.838Z,,44474.285714,3043.0,0.2857142857,0.4286,1867252409.918371,0.0,s5,s1,s3_methodical,True
69fa19b9f792a5bd257527df,7e2b7b4c-850f-44d5-8549-0b5e31f56b8a,2026-05-05T16:24:25.722Z,,,,,,,,,,,False
